town,Count,Black,Hispanic,White,Asian,NativeA,BP,HP,WP,AP,Population,pCapita,WhiteAlone,BlackAlone,AsianAlone,Hispanicalone,,pAsian(capita),2,,pHispanic(capita),3,,pWhite(capita),4,,pBlack(capita),5,,,,,%Pop(W),%Pop(B),%Pop(A),%Pop(H),,,TotalWBond,TotalAveB,TotalHBond,TotalAbond,TotalBbond
Andover,1,0,0,1,0,0,0,0,100,0,3303,0.303,2908,68,37,47,,0,0,,0,0,,0.034,0.034,,0,0,,,,,0.88,0.02,0.01,0.01,,,5000,5000,0,0,0
Ansonia,1191,512,19,647,0,2,42.989,1.595,54.324,0,19249,61.873,12748,1431,414,4323,,0,0,,0.44,0.44,,5.075,5.075,,35.779,35.779,,,,,0.66,0.07,0.02,0.22,,,10622,16288,39632,0,22957
Ashford,1,0,0,1,0,0,0,0,100,0,4317,0.232,4052,77,2,76,,0,0,,0,0,,0.025,0.025,,0,0,,,,,0.94,0.02,0,0.02,,,5000,5000,0,0,0
Avon,6,0,0,6,0,0,0,0,100,0,18098,0.332,16018,76,1517,472,,0,0,,0,0,,0.037,0.037,,0,0,,,,,0.89,0,0.08,0.03,,,6958,6958,0,0,0
BarkHamsted,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3799,0,3690,1,21,28,,0,0,,0,0,,0,0,,0,0,,,,,0.97,0,0.01,0.01,,,0,0,0,0,0
Beacon Falls,4,0,1,3,0,0,0,25,75,0,6049,0.661,5495,36,111,385,,0,0,,0.26,0.26,,0.055,0.055,,0,0,,,,,0.91,0.01,0.02,0.06,,,50000,87500,200000,0,0
Berlin,13,1,0,12,0,0,7.692,0,92.308,0,19866,0.654,18796,197,638,569,,0,0,,0,0,,0.064,0.064,,0.508,0.508,,,,,0.95,0.01,0.03,0.03,,,10625,10192,0,0,5000
Bethany,4,0,0,4,0,0,0,0,100,0,5563,0.719,5313,1,95,72,,0,0,,0,0,,0.075,0.075,,0,0,,,,,0.96,0,0.02,0.01,,,5000,5000,0,0,0
Bethel,16,2,0,14,0,0,12.5,0,87.5,0,18584,0.861,16233,232,850,1301,,0,0,,0,0,,0.086,0.086,,0.862,0.862,,,,,0.87,0.01,0.05,0.07,,,9150,8631,0,0,5000
Bethlehem,3,0,0,2,1,0,0,0,66.667,33.333,3607,0.832,3483,18,8,32,,12.5,12.5,,0,0,,0.057,0.057,,0,0,,,,,0.97,0,0,0.01,,,5250,3833,0,1000,0
Bloomfield,43,31,0,12,0,0,72.093,0,27.907,0,20486,2.099,7026,11266,388,1073,,0,0,,0,0,,0.171,0.171,,0.275,0.275,,,,,0.34,0.55,0.02,0.05,,,17354,13110,0,0,11468
Bolton,1,0,0,1,0,0,0,0,100,0,4980,0.201,4479,60,100,224,,0,0,,0,0,,0.022,0.022,,0,0,,,,,0.9,0.01,0.02,0.04,,,2000,2000,0,0,0
Bozrah,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2627,0,2368,32,35,108,,0,0,,0,0,,0,0,,0,0,,,,,0.9,0.01,0.01,0.04,,,0,0,0,0,0
Branford,96,5,1,89,0,1,5.208,1.042,92.708,0,28026,3.425,24719,334,1180,1467,,0,0,,0.068,0.068,,0.36,0.36,,1.497,1.497,,,,,0.88,0.01,0.04,0.05,,,20133,19248,0,0,11200
Bridgeport,901,553,51,291,0,0,61.376,5.66,32.297,0,144229,6.247,31048,49967,5319,57030,,0,0,,0.089,0.089,,0.937,0.937,,1.107,1.107,,,,,0.22,0.35,0.04,0.4,,,30024,64400,35257,0,85498
Bridgewater,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1727,0,1596,15,25,83,,0,0,,0,0,,0,0,,0,0,,,,,0.92,0.01,0.01,0.05,,,0,0,0,0,0
Bristol,276,48,4,219,0,4,17.391,1.449,79.348,0,60477,4.564,49770,1596,1178,6476,,0,0,,0.062,0.062,,0.44,0.44,,3.008,3.008,,,,,0.82,0.03,0.02,0.11,,,39097,51801,75750,0,96291
Brookfield,11,1,0,10,0,0,9.091,0,90.909,0,16452,0.669,14684,119,944,735,,0,0,,0,0,,0.068,0.068,,0.84,0.84,,,,,0.89,0.01,0.06,0.04,,,10655,11050,0,0,15000
Brooklyn,28,5,2,21,0,0,17.857,7.143,75,0,8210,3.41,7174,119,50,704,,0,0,,0.284,0.284,,0.293,0.293,,4.202,4.202,,,,,0.87,0.01,0.01,0.09,,,20071,19518,10000,0,21000
Burlington,1,0,0,1,0,0,0,0,100,0,9301,0.108,8907,98,179,186,,0,0,,0,0,,0.011,0.011,,0,0,,,,,0.96,0.01,0.02,0.02,,,5000,5000,0,0,0
Canaan,5,1,0,4,0,0,20,0,80,0,1234,4.052,1200,0,2,26,,0,0,,0,0,,0.333,0.333,,#DIV/0!,#DIV/0!,,,,,0.97,0,0,0.02,,,5375,4840,0,0,2700
Canterbury,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,5132,0,4945,37,28,0,,0,0,,#DIV/0!,#DIV/0!,,0,0,,0,0,,,,,0.96,0.01,0.01,0,,,,0,0,0,0
